Rank,Track_id,Streams,Track Name,Artist_id
1.0,25sgk305KZfyuqVBQIahim,1166185736,Sweet but Psycho,4npEfmQ6YuiwW1GpUmaq3F
2.0,2Fxmhks0bxGSBdJ92vM42m,1052358787,bad guy,6qqNVTkY8uBg9cP3Jd7DAH
3.0,6ocbgoVGwYJhOv1GgI9NsF,789094044,7 rings,66CXWjxzNUsdJxJ2JdwvnR
4.0,1rgnBhdG2JDFTbYkYRZAku,764208309,Dance Monkey,2NjfBq1NflQcKSeiDooVjY
5.0,6v3KW9xbzN5yKLt9YKDYA2,763064359,Señorita,7n2wHs1TKAczGzO7Dd2rGr
6.0,5w9c2J52mkdntKOmRLeM2m,715027898,Con Calma,4VMYDCV2IEDYJArk749S6m
7.0,2VxeLyX666F8uXCJ0dZF8B,714097238,Shallow,1HY2Jd0NmPuamShAr6KMms
8.0,7qEHsqek33rTcFNT9PFqLf,661930419,Someone You Loved,4GNC7GD6oZMSxPGyXy4MNB
9.0,2dpaYNEQHiRxtZbfNsse99,620829467,Happier,64KEffDW9EtZ1y2vBYgq8T
10.0,6MWtB6iiXyIwun0YzU6DFP,615519053,Wow.,246dkjvS1zLTtiykXe5h60
11.0,5p7ujcrUXASCNwRaWNHR1C,605653817,Without Me,26VFTg2z8YR0cCuwLzESi2
12.0,5iwz1NiezX7WWjnCgY5TH4,591435651,Calma - Remix,4QVBYiagIaa6ZGSPMbybpy
13.0,6Qs4SXO9dwPj5GKvVOv8Ki,560659214,Dancing With A Stranger (with Normani),2wY79sveU1sp5g7SokKOiI
14.0,6vBdBCoOhKHiYDDOcorfNo,501130662,Goodbyes (Feat. Young Thug),246dkjvS1zLTtiykXe5h60
15.0,70eFcWOvlMObDhURTqT4Fv,499741532,Beautiful People (feat. Khalid),6eUKZXaKkcviH0Ku9w2n3V
16.0,6u7jPi22kF8CTQ3rb9DHE7,490147372,Old Town Road (feat. Billy Ray Cyrus) - Remix,7jVv8c5Fj3E9VhNjxT4snq
17.0,2ksOAxtIxY8yElEWw8RhgK,486837636,China,2R21vXR83lH98kGeO99Y66
18.0,2TH65lNHgvLxCKXM3apjxI,478232047,Callaita,4q3ewBCX7sLwd24euuV69X
19.0,2JvzF1RMd7lE3KmFlsyZD8,471425764,MIDDLE CHILD,6l3HvQ5sa6mXTsMTB19rO5
20.0,1rqqCSm0Qe4I9rUvWncaom,470921270,High Hopes,20JZFwl6HVl6yg8a4H3ZqK
21.0,2xLMifQCjDGFmkHkpNLD9h,458994547,SICKO MODE,0Y5tJX1MQlPlqiwlOH1tJY
22.0,3e9HZxeyfWwjeyPAMmWSSQ,457296092,"thank u, next",66CXWjxzNUsdJxJ2JdwvnR
23.0,0hVXuCcriWRGvwMV1r5Yn9,453524592,I Don't Care (with Justin Bieber),6eUKZXaKkcviH0Ku9w2n3V
24.0,4kV4N9D1iKVxx1KLvtTpjS,437732762,"break up with your girlfriend, i'm bored",66CXWjxzNUsdJxJ2JdwvnR
25.0,7FGq80cy8juXBCD2nrqdWU,437445791,Eastside (with Halsey & Khalid),5CiGnKThu5ctn9pBxv7DGa
26.0,21jGcNKet2qwijlDFuPiPb,428712946,Circles,246dkjvS1zLTtiykXe5h60
27.0,5qmq61DAAOUaW8AUo8xKhh,428395771,Truth Hurts,56oDRnqbIiwx4mymNEv7dS
28.0,2IRZnDFmlqMuOrYOLnZZyc,424959272,Going Bad (feat. Drake),20sxb77xiYeusSH8cVdatc
29.0,5WHTFyqSii0lmT9R21abT8,415230966,Don't Call Me Up,1MIVXf74SZHmTIp4V4paH4
30.0,285pBltuF7vW8TeWk8hdRR,413902280,Lucid Dreams,4MCBfE4596Uoi2O4DtmEMz
31.0,0uUNN1nSoUx1A4fkDCWDQ7,407647986,So Am I,4npEfmQ6YuiwW1GpUmaq3F
32.0,7dt6x5M1jzdTEt8oCbisTK,405953336,Better Now,246dkjvS1zLTtiykXe5h60
33.0,6b2RcmUt1g9N9mQ3CbjX2Y,399479470,How Do You Sleep?,2wY79sveU1sp5g7SokKOiI
