Artist,Artist_popularity,Artist_follower,Artist_id
Ava Max,87,1025358,4npEfmQ6YuiwW1GpUmaq3F
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Tones and I,92,484241,2NjfBq1NflQcKSeiDooVjY
Shawn Mendes,94,23152263,7n2wHs1TKAczGzO7Dd2rGr
Daddy Yankee,95,15857952,4VMYDCV2IEDYJArk749S6m
Lady Gaga,89,10181517,1HY2Jd0NmPuamShAr6KMms
Lewis Capaldi,92,2143489,4GNC7GD6oZMSxPGyXy4MNB
Marshmello,90,20341696,64KEffDW9EtZ1y2vBYgq8T
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Halsey,92,9063023,26VFTg2z8YR0cCuwLzESi2
Pedro Capó,83,827312,4QVBYiagIaa6ZGSPMbybpy
Sam Smith,92,11220622,2wY79sveU1sp5g7SokKOiI
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Lil Nas X,87,2218983,7jVv8c5Fj3E9VhNjxT4snq
Anuel AA,96,9911627,2R21vXR83lH98kGeO99Y66
Bad Bunny,98,17863391,4q3ewBCX7sLwd24euuV69X
J. Cole,91,10036739,6l3HvQ5sa6mXTsMTB19rO5
Panic! At The Disco,88,8777959,20JZFwl6HVl6yg8a4H3ZqK
Travis Scott,98,7626718,0Y5tJX1MQlPlqiwlOH1tJY
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
benny blanco,83,458671,5CiGnKThu5ctn9pBxv7DGa
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Lizzo,88,1838446,56oDRnqbIiwx4mymNEv7dS
Meek Mill,88,3826161,20sxb77xiYeusSH8cVdatc
Mabel,82,554723,1MIVXf74SZHmTIp4V4paH4
Juice WRLD,98,7403812,4MCBfE4596Uoi2O4DtmEMz
Ava Max,87,1025358,4npEfmQ6YuiwW1GpUmaq3F
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Sam Smith,92,11220622,2wY79sveU1sp5g7SokKOiI
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Y2K,81,134196,6USMTwO0MNDnKte5a5h0xx
Maroon 5,94,21668307,04gDigrS5kc9YWfZHwBETP
Khalid,96,10092177,6LuN9FCkKOj5PcnpouEgny
Bad Bunny,98,17863391,4q3ewBCX7sLwd24euuV69X
MEDUZA,85,152909,0xRXCcSX89eobfrshSVdyu
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Sech,95,2397904,77ziqFxp5gaInVrF2lj4ht
Alec Benjamin,84,1106781,5IH6FPUwQTxPSXurCrcIov
Jhay Cortez,84,508260,0EFisYRi20PTADoJrifHrz
Maroon 5,94,21668307,04gDigrS5kc9YWfZHwBETP
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
ROSALÍA,87,2299313,7ltDVBr6mKbRvohxheJ9h1
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Drake,99,43763483,3TVXtAsR1Inumwj472S9r4
XXXTENTACION,95,17294420,15UsOTVnJzReFVN1VCnxy4
Lauv,91,2139634,5JZ7CnR6gTvEMKX4g70Amv
Anuel AA,96,9911627,2R21vXR83lH98kGeO99Y66
DJ Snake,88,6393532,540vIaP2JwjQb9dm3aArA4
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Khalid,96,10092177,6LuN9FCkKOj5PcnpouEgny
J Balvin,99,17106207,1vyhD5VmyZ7KMfW5gqLgo5
Lil Nas X,87,2218983,7jVv8c5Fj3E9VhNjxT4snq
A Boogie Wit da Hoodie,91,3899600,31W5EY0aAly4Qieq6OFu6I
Imagine Dragons,92,24617484,53XhwfbYqKCa1cC15pYq2q
5 Seconds of Summer,87,5627772,5Rl15oVamLq7FbSb0NNBNy
Jonas Brothers,87,3492262,7gOdHgIoIKoe4i9Tta6qdD
XXXTENTACION,95,17294420,15UsOTVnJzReFVN1VCnxy4
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Travis Scott,98,7626718,0Y5tJX1MQlPlqiwlOH1tJY
Lil Nas X,87,2218983,7jVv8c5Fj3E9VhNjxT4snq
Shawn Mendes,94,23152263,7n2wHs1TKAczGzO7Dd2rGr
Queen,93,22898929,1dfeR4HaWDbWqFHLkxsg1d
Ozuna,98,21123358,1i8SpTcr7yvPOmcqrbnVXY
DJ Snake,88,6393532,540vIaP2JwjQb9dm3aArA4
Lunay,88,1349511,47MpMsUfWtgyIIBEFOr4FE
Anne-Marie,86,5194708,1zNqDE7qDGCsyzJwohVaoX
Lauv,91,2139634,5JZ7CnR6gTvEMKX4g70Amv
Queen,93,22898929,1dfeR4HaWDbWqFHLkxsg1d
Nicky Jam,94,10569805,1SupJlEpv7RS2tPNRaHViT
Jonas Brothers,87,3492262,7gOdHgIoIKoe4i9Tta6qdD
Maluma,92,18201306,1r4hJ1h58CWwUQe3MxPuau
James Arthur,87,5297706,4IWBUUAFIplrNtaOHcJPRM
Chris Brown,93,10352577,7bXgB6jMjp9ATFy66eO08Z
blackbear,90,2708485,2cFrymmkijnjDg9SS92EPM
Calvin Harris,90,19331795,7CajNmpbOovFoOoasH2HaY
Queen,93,22898929,1dfeR4HaWDbWqFHLkxsg1d
Marshmello,90,20341696,64KEffDW9EtZ1y2vBYgq8T
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Lil Baby,93,3258508,5f7VJjfbwm532GiveGC0ZK
DaBaby,95,1799463,4r63FhuTkUYltbVAg5TQnk
Dynoro,78,167708,3v6Ji4uoWtKRkhuDUaxi9n
DJ Luian,82,522058,64aJYyrXljOodnUG6jvhRD
BTS,93,15652748,3Nrfpe0tUJi4K4DXYWgMUX
XXXTENTACION,95,17294420,15UsOTVnJzReFVN1VCnxy4
Imagine Dragons,92,24617484,53XhwfbYqKCa1cC15pYq2q
YNW Melly,90,2433412,1cNDP5yjU5vjeR8qMf4grg
Katy Perry,89,14486730,6jJ0s89eD6GaHleKKya26X
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Drake,99,43763483,3TVXtAsR1Inumwj472S9r4
Paulo Londra,86,9006523,3vQ0GE3mI0dAaxIMYe5g7z
Billie Eilish,98,18867904,6qqNVTkY8uBg9cP3Jd7DAH
Selena Gomez,93,18882676,0C8ZW7ezQVs4URX5aX7Kqx
A Boogie Wit da Hoodie,91,3899600,31W5EY0aAly4Qieq6OFu6I
Kygo,89,5922832,23fqKkggKUBHNkbKtXEls4
Shawn Mendes,94,23152263,7n2wHs1TKAczGzO7Dd2rGr
J Balvin,99,17106207,1vyhD5VmyZ7KMfW5gqLgo5
Dominic Fike,78,227111,6USv9qhCn6zfxlBQIYJ9qs
Ellie Goulding,87,7390843,0X2BH1fck6amBIoJhDVmmJ
Kodak Black,87,5428094,46SHBwWsqBkxI7EeeBEQG7
Cardi B,92,10412486,4kYSro6naA4h99UJvo89HB
Ali Gatie,82,464535,4rTv3Ejc7hKMtmoBOK1B4T
Sam Smith,92,11220622,2wY79sveU1sp5g7SokKOiI
Sech,95,2397904,77ziqFxp5gaInVrF2lj4ht
Regard,83,34267,4ofCBoyEiGSePFAG500xev
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Dua Lipa,93,14982761,6M2wZ9GZgrQXHCFfjv46we
The Black Eyed Peas,88,3959999,1yxSLGMDHlW21z4YXirZDS
Piso 21,84,4845869,4bw2Am3p9ji3mYsXNXtQcd
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Tainy,86,46061,0GM7qgcRCORpGnfcN2tCiB
21 Savage,90,7271390,1URnnhqYAYcrqrcwql10ft
Khalid,96,10092177,6LuN9FCkKOj5PcnpouEgny
Calvin Harris,90,19331795,7CajNmpbOovFoOoasH2HaY
Arizona Zervas,89,188185,0vRvGUQVUjytro0xpb26bs
